2.8,21.853000925
2.9,-0.21962815
3.0,-12.21132514
3.1,-17.92165704
3.2,-19.744570685
3.3,-19.23942594
3.4,-17.39454948
3.5,-14.956677015
3.6,-12.38702766
3.7,-9.97111801
3.8,-7.884650585
3.9,-6.171551015
4.0,-4.809856485
4.1,-3.77760418
4.2,-2.98694284
4.3,-2.41590965
4.4,-1.97665335
4.5,-1.647211125
4.6,-1.40562016
4.7,-1.18599201
4.8,-1.032252305
4.9,-0.900475415
5.0,-0.79066134
5.1,-0.70281008
5.2,-0.61495882
5.3,-0.549070375
5.4,-0.48318193
5.5,-0.4392563
5.6,-0.39533067
5.7,-0.35140504
5.8,-0.30747941
5.9,-0.285516595
6.0,-0.26355378
6.1,-0.21962815
6.2,-0.197665335
6.3,-0.197665335
6.4,-0.17570252
6.5,-0.153739705
6.6,-0.13177689
6.7,-0.13177689
6.8,-0.109814075
6.9,-0.109814075
7.0,-0.08785126
7.1,-0.08785126
7.2,-0.08785126
7.3,-0.065888445
7.4,-0.065888445
7.5,-0.065888445
7.6,-0.065888445
7.7,-0.04392563
7.8,-0.04392563
7.9,-0.04392563
8.0,-0.04392563
8.1,-0.04392563
8.2,-0.04392563
8.3,-0.021962815
8.4,-0.021962815
8.5,-0.021962815
8.6,-0.021962815
8.7,-0.021962815
8.8,-0.021962815
8.9,-0.021962815
9.0,-0.021962815
9.1,-0.021962815
9.2,-0.021962815
9.3,-0.021962815
9.4,-0.021962815
9.5,-0.021962815
9.6,-0.021962815
9.7,0
9.8,0
9.9,0
10.0,0